6,28
27,29
47,29
67,29
88,29
109,29
130,30
152,32
173,32
194,35
215,35
235,32
256,32
277,32
298,31
319,30
340,30
362,29
384,29
406,27
428,27
448,25
466,25
486,25
506,26
527,26
551,26
572,26
594,26
615,28
637,29
659,32
681,37
702,40
725,44
744,53
764,63
779,76
790,94
796,113
795,136
796,157
792,177
786,196
777,215
768,234
758,253
746,270
730,287
713,298
692,306
672,312
652,315
630,319
613,321
594,327
576,333
556,336
535,341
512,345
490,349
471,354
452,359
432,361
412,364
391,367
370,370
350,372
329,375
308,380
290,391
272,403
257,417
243,433
232,450
224,467
223,488
229,509
239,529
252,543
266,558
285,570
307,572
327,574
347,574
369,576
389,578
409,576
430,575
451,573
473,573
495,573
518,573
538,576
560,576
584,574
607,578
630,580
651,580
674,579
696,578
718,578
742,579
765,577
788,577
10,125
29,124
47,124
67,124
83,125
104,126
126,125
151,125
174,125
194,125
217,123
239,122
260,122
280,122
299,123
321,122
340,122
357,121
380,122
402,122
424,121
446,119
469,120
491,121
510,124
532,128
553,132
574,135
595,139
615,143
635,152
627,170
605,175
585,179
564,184
544,187
524,191
504,195
481,195
458,198
437,201
417,205
397,205
377,210
357,211
340,213
321,215
302,216
282,219
262,224
242,225
220,231
201,231
181,235
161,240
139,242
117,242
97,250
78,259
61,271
48,288
40,306
34,325
28,345
22,364
19,384
16,405
15,426
15,446
13,466
15,487
17,509
20,528
24,550
29,567
36,588
42,605
50,626
64,645
78,662
95,675
109,689
126,704
145,717
163,724
182,730
205,736
231,739
257,741
276,741
294,741
316,743
341,746
365,745
384,746
405,746
427,746
450,747
473,747
496,748
518,747
539,746
569,746
586,745
608,750
627,749
649,749
674,749
696,747
722,751
741,750
766,751
785,751
797,748
